job_id,job_title,company,location,work_mode,experience_level,employment_type,industry,required_skills,preferred_skills,education,description
J001,Python Developer,TechNova Solutions,Bengaluru India,Hybrid,Fresher,Full-time,Software,"Python;SQL;Flask;Django;REST API;Git;OOP;Data Structures","Docker;AWS;PyTest","B.Tech/B.E. in Computer Science or related field","Develop Python applications and REST APIs. Work with databases, write clean object-oriented code, debug applications, and collaborate with software development teams."
J002,Software Developer,GlobalSoft Technologies,Pune India,On-site,Fresher,Full-time,"Python;Java;C++;SQL;OOP;Data Structures;Algorithms;Git;REST API","Develop and maintain software applications. Implement data structures and algorithms, write efficient code, perform debugging, and work with version control systems."
J003,Data Analyst,Insight Analytics,Mumbai India,Hybrid,Fresher,Full-time,"Python;SQL;Pandas;NumPy;Excel;Power BI;Statistics;Data Visualization","Analyze business data, create reports and dashboards, identify trends, clean datasets, write SQL queries, and communicate insights to business teams."
J004,Machine Learning Engineer,AI Labs India,Bengaluru India,Hybrid,Entry Level,Full-time,"Python;Machine Learning;Scikit-learn;Pandas;NumPy;Statistics;SQL;Git","Build and evaluate machine learning models, preprocess datasets, perform feature engineering, analyze model performance, and develop machine learning solutions."
J005,Backend Developer,CloudStack Systems,Hyderabad India,Hybrid,Entry Level,Full-time,"Python;Flask;Django;SQL;PostgreSQL;REST API;Git;Docker","Develop backend services and APIs using Python. Design database queries, build REST APIs, debug server-side applications, and work with deployment tools."
J006,Data Scientist,DataMind Technologies,Bengaluru India,Hybrid,Entry Level,Full-time,"Python;Pandas;NumPy;Machine Learning;Statistics;SQL;Scikit-learn;Data Visualization","Analyze large datasets, build predictive models, perform exploratory data analysis, and communicate data-driven insights using statistical and machine learning techniques."
J007,AI Engineer,FutureAI Labs,Hyderabad India,Hybrid,Entry Level,Full-time,"Python;Machine Learning;Deep Learning;TensorFlow;PyTorch;NLP;Scikit-learn;Git","Develop AI solutions using machine learning and deep learning techniques. Work with neural networks, NLP systems, model training, and AI application development."
J008,SQL Developer,DatabaseWorks,Chennai India,On-site,Fresher,Full-time,"SQL;MySQL;PostgreSQL;Database Design;Joins;Stored Procedures;Python","Develop and optimize SQL queries, design relational databases, create stored procedures, analyze database performance, and support data-driven applications."
J009,Full Stack Developer,WebCore Technologies,Pune India,Hybrid,Entry Level,Full-time,"Python;Flask;JavaScript;HTML;CSS;SQL;REST API;Git;React","Develop complete web applications across frontend and backend layers. Build APIs, work with databases, integrate frontend components, and maintain web applications."
J010,Python Data Analyst,AnalyticsPro,Mumbai India,Remote,Fresher,Full-time,"Python;SQL;Pandas;NumPy;Matplotlib;Statistics;Excel;Data Cleaning","Use Python and SQL to clean, analyze, and visualize business datasets. Generate reports, identify trends, and support decision-making with data insights."
J011,Junior Software Engineer,CodeBridge Technologies,Noida India,On-site,Fresher,Full-time,"Python;Java;SQL;OOP;Data Structures;Algorithms;Git;Problem Solving","Write and test software components, solve programming problems, debug applications, participate in code reviews, and follow software development practices."
J012,Junior Data Scientist,AnalyticsHub,Bengaluru India,Hybrid,Entry Level,Full-time,"Python;Pandas;NumPy;Machine Learning;Statistics;SQL;Data Visualization","Support data science projects through data cleaning, exploratory analysis, feature engineering, model development, and visualization."
J013,NLP Engineer,LanguageAI Labs,Bengaluru India,Hybrid,Entry Level,Full-time,"Python;NLP;NLTK;spaCy;Machine Learning;Scikit-learn;Deep Learning;SQL","Develop natural language processing applications including text classification, information extraction, text preprocessing, and language-based machine learning systems."
J014,Computer Vision Engineer,VisionTech India,Hyderabad India,Hybrid,Entry Level,Full-time,"Python;OpenCV;Computer Vision;TensorFlow;PyTorch;NumPy;Machine Learning","Develop computer vision applications for image and video processing. Implement image classification, object detection, image preprocessing, and model evaluation."
J015,BI Analyst,BusinessInsights Corp,Gurugram India,Hybrid,Fresher,Full-time,"SQL;Power BI;Excel;Python;Data Analysis;Data Visualization;Statistics","Create business intelligence reports and dashboards, analyze KPIs, write SQL queries, prepare datasets, and communicate actionable business insights."
J016,Automation Python Developer,AutomateX Solutions,Pune India,Remote,Fresher,Full-time,"Python;Selenium;Automation;SQL;REST API;Git;PyTest","Develop automation scripts and testing tools using Python. Automate repetitive tasks, interact with APIs and databases, and write automated tests."
J017,Software Test Engineer,QualityFirst Technologies,Noida India,Hybrid,Fresher,Full-time,"Python;PyTest;Selenium;SQL;Software Testing;Automation;Git","Design and execute software tests, automate test cases using Python, identify defects, work with databases, and support software quality assurance."
J018,Cloud Python Developer,CloudNova,Bengaluru India,Hybrid,Entry Level,Full-time,"Python;AWS;Docker;REST API;SQL;Git;Linux;Flask","Develop cloud-ready Python applications and APIs. Work with containers, cloud services, Linux environments, databases, and application deployment."
J019,Data Engineer,DataFlow Technologies,Hyderabad India,Hybrid,Entry Level,Full-time,"Python;SQL;ETL;Pandas;PostgreSQL;Data Pipelines;Git;AWS","Build and maintain data pipelines, perform ETL operations, transform datasets, optimize SQL queries, and prepare reliable data for analytics systems."
J020,Junior ML Developer,SmartAI Technologies,Pune India,Remote,Fresher,Full-time,"Python;Machine Learning;Pandas;NumPy;Scikit-learn;SQL;Git","Assist in developing machine learning applications, preprocess datasets, train models, evaluate performance, and integrate models into Python applications."
J021,Web Developer,DigitalWeb Solutions,Ahmedabad India,On-site,Fresher,Full-time,"Python;Flask;HTML;CSS;JavaScript;SQL;Git;REST API","Develop and maintain responsive web applications, create backend services using Flask, work with SQL databases, and integrate APIs."
J022,Research Data Analyst,ResearchTech India,Delhi India,Hybrid,Entry Level,Full-time,"Python;SQL;Pandas;Statistics;NumPy;Data Visualization;Research","Analyze research datasets, perform statistical analysis, clean data, create visualizations, and prepare analytical reports for research teams."
J023,AI Data Analyst,IntelliData Labs,Bengaluru India,Hybrid,Fresher,Full-time,"Python;SQL;Pandas;Machine Learning;Statistics;Power BI;Data Visualization","Analyze datasets used for AI applications, create dashboards, identify patterns, prepare data for machine learning models, and generate business insights."
